grupo,bigrama,frecuencia
La Nación,cristina kirchner,24
La Nación,contestar pregunta,11
La Nación,méndez signori,9
La Nación,red social,8
La Nación,cuadernos coimas,6
La Nación,néstor kirchner,5
La Nación,julio vido,5
La Nación,causa cuadernos,5
La Nación,tribunal oral,5
La Nación,fabiana león,5
La Nación,pregunta tribunal,5
La Nación,millón corte,4
Página 12,causa cuadernos,9
Página 12,mauricio macri,7
Página 12,negar declarar,5
Página 12,aporte electoral,5
Página 12,cristina kirchner,5
Página 12,parque eólico,4
Página 12,arrepentido negar,4
Página 12,millón dólares,4
Página 12,raúl kollmann,4
Página 12,comodoro py,4
Página 12,aporte campaña,4
Página 12,kollmann marzo,4
