grupo,término,frecuencia
La Nación,proceso,12.0
La Nación,trump,8.0
La Nación,seguir,8.0
La Nación,social,8.0
La Nación,red,8.0
La Nación,malvinas,8.0
La Nación,coimas,7.0
La Nación,wagner,7.0
La Nación,beraldi,7.0
La Nación,recaudación,6.0
La Nación,poder,6.0
La Nación,cumplir,6.0
Página 12,cfk,10.0
Página 12,electoral,9.0
Página 12,españa,8.0
Página 12,goycoechea,8.0
Página 12,cambiar,6.0
Página 12,mencionar,6.0
Página 12,dólares,6.0
Página 12,perseguir,4.0
Página 12,licitación,4.0
Página 12,maniobra,4.0
Página 12,español,4.0
Página 12,contenido,4.0
