grupo,texto_entidad,etiqueta,frecuencia
La Nación,Cristina Kirchner,PER,22
La Nación,Tribunal,LOC,9
La Nación,Malvinas,LOC,8
La Nación,Centeno,PER,7
La Nación,Cuadernos,ORG,6
La Nación,Wagner,PER,6
La Nación,Néstor Kirchner,PER,5
La Nación,Stornelli,PER,5
La Nación,Vialidad,LOC,5
La Nación,Beraldi,PER,4
La Nación,Cruces,LOC,4
La Nación,Donald Trump,PER,4
La Nación,Enrique Méndez Signori,PER,4
La Nación,Fabiana León,PER,4
La Nación,La Corte,LOC,4
La Nación,Luis Caputo,PER,4
La Nación,Méndez Signori,PER,4
La Nación,Trump,PER,4
La Nación,Además,PER,3
La Nación,Congreso,ORG,3
La Nación,Cristina,PER,3
La Nación,Cuadernos de las Coimas,ORG,3
La Nación,De Vido,MISC,3
La Nación,Milei,LOC,3
La Nación,Oscar Centeno,PER,3
La Nación,Presidente,PER,3
La Nación,Roberto Baratta,PER,3
La Nación,San José,PER,3
La Nación,Vialidad,MISC,3
La Nación,Angelo Calcaterra,PER,2
La Nación,Baratta,PER,2
La Nación,Bonadio,PER,2
La Nación,Carlos Beraldi,PER,2
La Nación,Claudio Uberti,PER,2
La Nación,Comodoro Py,PER,2
La Nación,Cuadernos,LOC,2
La Nación,Dos,MISC,2
La Nación,Empresarios ligados al kirchnerismo,MISC,2
La Nación,"Eskenazi
Los Cuadernos de las Coimas",MISC,2
La Nación,Gerardo Ferreyra,PER,2
La Nación,Irán,LOC,2
La Nación,Javier Milei,PER,2
La Nación,Julio De Vido,PER,2
La Nación,Julio de Vido,PER,2
La Nación,Justicia,LOC,2
La Nación,Justicia,MISC,2
La Nación,Justicia,ORG,2
La Nación,Llorens,PER,2
La Nación,"Los cuadernos de las coimas
Cuadernos",MISC,2
La Nación,Mauricio Macri,PER,2
La Nación,Oscar Thomas,PER,2
La Nación,Poder Judicial,LOC,2
La Nación,Poder Legislativo,MISC,2
La Nación,Presidente de la Nación,MISC,2
La Nación,Rutas y Cuadernos,MISC,2
La Nación,Según,PER,2
La Nación,También,PER,2
La Nación,Tribunal,ORG,2
La Nación,Uberti,PER,2
La Nación,Vido,MISC,2
La Nación,agregó,PER,2
La Nación,AMIA,LOC,1
La Nación,Ahhhh,LOC,1
La Nación,Ahora,MISC,1
La Nación,Albanesi,PER,1
La Nación,Aldo Benito Roggio,PER,1
La Nación,Alguien,MISC,1
La Nación,Anunciando,MISC,1
La Nación,Apoyado,PER,1
La Nación,Armando Roberto Loson,PER,1
La Nación,Ary Chernovoy-,PER,1
La Nación,Asamblea Legislativa,ORG,1
La Nación,Así,PER,1
La Nación,Basó,LOC,1
La Nación,Bonadio,LOC,1
La Nación,Calificó,PER,1
La Nación,Carlos Stornelli,PER,1
La Nación,Carlos Wagner,PER,1
La Nación,Claudio Bonadio,PER,1
La Nación,Como arrepentido había identificado montos,MISC,1
La Nación,Comodoro Py,LOC,1
