grupo,término,frecuencia
La Nación,tribunal,32
La Nación,kirchner,30
La Nación,cristina,29
La Nación,causa,29
La Nación,pregunta,26
La Nación,cuadernos,23
La Nación,expresidenta,22
La Nación,empresario,19
La Nación,caso,18
La Nación,arrepentido,18
La Nación,declarar,16
La Nación,presidente,15
Página 12,causa,23
Página 12,isolux,20
Página 12,centeno,17
Página 12,fiscal,16
Página 12,cuadernos,15
Página 12,arrepentido,14
Página 12,declarar,14
Página 12,stornelli,14
Página 12,declaración,14
Página 12,dinero,14
Página 12,cristina,13
Página 12,falso,13
